Date,Close,High,Low,Open,Volume,trend
2025-07-07,798523.0,807450.5863354037,753885.0683229814,755868.9763975155,273998,15
2025-07-08,808442.5625,820346.0112730061,789595.4352760736,813402.3328220859,265811,15
2025-07-09,843160.9375,851096.5698529412,831257.4889705883,835225.3051470588,273305,15
2025-07-10,846136.8125,851096.5827960141,829273.5934935522,844152.9043815944,298241,15
2025-07-11,799514.9375,840185.0521867246,795547.1214330025,840185.0521867246,255773,15
2025-07-14,800506.875,812410.3229553903,784635.6110594795,801498.8289962825,183007,18
2025-07-15,841177.0,841177.0,795547.1155660377,795547.1155660377,235902,18
2025-07-16,847128.75,847128.75,823321.8530444965,833241.393442623,165528,18
2025-07-17,888790.8125,904662.0770089286,840185.0649414062,848120.6971958706,463424,18
2025-07-18,888790.8125,902678.1689453125,877879.3181501117,897718.3987862724,176796,18
2025-07-21,911605.75,918549.4281828074,873911.497007617,883831.0372687704,224163,21
2025-07-22,914581.625,915573.5790401301,897718.4063177875,908629.9007592191,207213,21
2025-07-23,902678.1875,923509.2225961538,890774.7388736263,916565.5442307693,213391,21
2025-07-24,933428.75,938388.5201912859,901686.2207757705,903670.1288522847,263357,21
2025-07-25,937396.5625,943348.2867063492,925493.1140873015,925493.1140873015,126974,21
2025-07-28,945332.1875,951283.9116605456,927477.0150183631,939380.4633394544,122549,28
2025-07-29,989970.125,989970.125,939380.4693136272,943348.2854458918,324999,28
2025-07-30,969139.0625,989970.0965967247,955251.7064355168,989970.0965967247,292494,28
2025-07-31,987986.1875,1026672.3936370482,943348.2573418675,964179.2914156627,602496,28
2025-08-01,931444.8125,981042.512846113,902678.1462992546,979058.6048322684,419450,28
2025-08-04,930452.875,937396.5531716418,914581.6106076759,922517.2428038379,118975,32
2025-08-05,953267.8125,965171.2607310093,924501.1459417273,934420.6861342351,187035,32
2025-08-06,928469.0,945332.219017094,917557.5053418804,944340.264957265,184646,32
2025-08-07,924501.125,934420.6649678111,915573.53902897,931444.8029774678,155826,32
2025-08-08,873911.5,902678.1668558456,867959.7758229284,898710.3507377979,330808,32
2025-08-11,872919.5625,888790.8272727273,867959.7922585227,867959.7922585227,157243,36
2025-08-12,844152.875,882839.0819623972,842168.9669506464,877879.3118390129,307287,36
2025-08-13,870935.625,875895.3950740319,802490.7979783599,847128.7286446469,394063,36
