Date,trend_base,trend_stock,trend_forecast,trend_earnings,trend_business_plan,ticker,company_name,foreign_ratio
2025-08-02,0.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-03,8.27999956287002,14.065072057642238,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-04,9.58451199901565,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-05,4.6322372838685695,11.439877395905706,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-06,7.8270746168737855,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-07,8.27999956287002,11.090763443767134,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-08,12.912236846738587,15.377669388510506,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-09,7.694187102156065,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-10,5.085162229864803,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-11,12.161422388583464,12.732262773722628,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-12,7.680898350684292,12.732262773722628,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-13,12.161422388583464,15.915328467153286,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-14,10.24119780091239,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-15,0.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-16,5.120598900456195,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-17,5.120598900456195,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-18,12.161422388583464,17.506861313868615,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-19,13.44157211369751,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-20,10.881272663469414,13.793284671532849,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-21,7.040823488127268,11.67124087591241,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-22,7.680898350684292,0.0,100.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-23,0.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-24,0.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-25,7.040823488127268,15.119562043795623,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-26,12.161422388583464,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-27,10.24119780091239,15.119562043795623,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-28,9.601122938355367,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-29,14.721721838811561,20.955182481751827,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-30,0.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-31,0.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-01,11.521347526026437,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-02,10.24119780091239,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-03,10.881272663469414,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-04,9.601122938355367,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-05,12.801497251140487,11.140729927007301,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-06,7.680898350684292,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-07,10.881272663469414,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-08,16.641946426482633,14.058540145985404,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-09,13.44157211369751,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-10,17.282021289039655,11.936496350364965,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-11,14.721721838811561,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-12,14.721721838811561,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-13,16.00187156392561,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-14,16.641946426482633,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-15,33.283892852965266,10.875474452554746,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-16,16.00187156392561,14.058540145985404,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-17,17.922096151596683,16.711094890510953,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-18,12.801497251140487,11.405985401459857,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-19,15.361796701368585,11.936496350364965,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-20,12.801497251140487,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-21,10.881272663469414,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-22,19.202245876710734,18.833138686131388,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-23,17.282021289039655,16.445839416058398,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-24,8.961048075798342,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-25,17.282021289039655,11.67124087591241,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-26,11.521347526026437,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-27,14.081646976254536,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-28,8.961048075798342,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-29,14.721721838811561,14.854306569343068,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-09-30,17.282021289039655,18.833138686131388,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-01,16.00187156392561,11.405985401459857,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-02,16.00187156392561,13.528029197080293,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-03,14.721721838811561,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-04,12.801497251140487,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-05,15.361796701368585,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-06,17.922096151596683,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-07,12.801497251140487,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-08,18.56217101415371,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-09,18.56217101415371,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-10,29.443443677623122,13.262773722627738,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-11,32.643817990408245,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
