Date,trend,ticker,company_name,foreign_ratio,weighted_trend,Close,High,Low,Open,Volume,return,return_lag1,return_lag3_mean,return_lag7_mean,volume_change,ma5,ma20,ma5_gap,ma20_gap,volatility_7,next_return,target
2025-09-16,44.0,000660.KS,SK하이닉스,0.53,23.32,347110.4375,353095.1002155172,330652.6150323276,330652.6150323276,5841135,0.051359474866125465,0.007610397544941971,0.04300080359901859,0.035276382735892176,0.38374336927208397,322872.55625,277752.66953125,0.07506949965494311,0.2497105359448094,0.02521194922606889,-0.041666674169081985,0
2025-09-17,33.0,000660.KS,SK하이닉스,0.53,17.490000000000002,332647.5,341624.4940029985,332647.5,340128.3283358321,4498866,-0.041666674169081985,0.051359474866125465,0.005767732747328484,0.027495842300274607,-0.22979592151182948,328757.475,281661.07890625,0.011832506622092847,0.18102047074356573,0.038307990657259365,0.06596707099857957,1
2025-09-18,37.0,000660.KS,SK하이닉스,0.53,19.61,354591.28125,356087.4469936709,335639.84849683545,337634.73615506326,4526286,0.06596707099857957,-0.041666674169081985,0.02521995723187435,0.031246685868668966,0.006094869240381939,338432.68125,287189.5796875,0.04774538895096726,0.23469410566999638,0.04090100324939492,-0.01265823565705626,0
2025-09-22,53.0,000660.KS,SK하이닉스,0.53,28.09,350102.78125,358082.3318198006,344367.47927795583,348107.8936075499,4377563,-0.01265823565705626,0.06596707099857957,0.0038807203908137744,0.02150186200607432,-0.03285762322575281,342921.18125,292194.85390625,0.020942421736160913,0.1981825708755625,0.042247965276613564,0.028490026455623818,1
2025-09-23,42.0,000660.KS,SK하이닉스,0.53,22.26,360077.21875,362072.10638850415,352097.6681959834,354591.2777441136,3315336,0.028490026455623818,-0.01265823565705626,0.02726628726571571,0.024162085489302987,-0.24265259003696804,348905.84375,297275.54765625,0.0320183086643988,0.21125743973523758,0.04197877309940953,-0.009695316221668082,0
2025-09-24,39.0,000660.KS,SK하이닉스,0.53,20.67,356586.15625,363069.5409090909,347609.1621066433,358082.3219405594,4165199,-0.009695316221668082,0.028490026455623818,0.0020454915256331585,0.0127723919739235,0.25634294683857073,350800.9875,302082.08828125,0.016491312613537076,0.18042800312610607,0.03809517405709319,-0.002797185147313197,0
2025-09-25,36.0,000660.KS,SK하이닉스,0.53,19.08,355588.71875,358082.3282784011,348606.61207047687,351100.221598878,2148215,-0.002797185147313197,-0.009695316221668082,0.005332508362214179,0.011285594446458476,-0.48424673106855154,355389.23125,306913.45703125,0.0005613211725587094,0.1585960491585544,0.038530821636011785,-0.0561009783159776,0
2025-09-26,36.0,000660.KS,SK하이닉스,0.53,19.08,335639.84375,348107.89143759286,332148.790397474,346611.72571508173,3685324,-0.0561009783159776,-0.002797185147313197,-0.022864493228319627,-0.004065898865270534,0.7155284736397427,351598.94375,310304.76640625,-0.04539006809800741,0.08164578854899504,0.04121711045216097,0.037147053552100795,1
2025-09-29,49.0,000660.KS,SK하이닉스,0.53,25.97,348107.875,350102.76253581664,338133.4373209169,338632.15920487104,2275986,0.037147053552100795,-0.0561009783159776,-0.007250369970396668,0.007193205094898435,-0.3824190220452801,351199.9625,314294.54140625,-0.008804350313676424,0.10758485795667598,0.039980033253615835,-0.004297967260867064,0
2025-09-30,65.0,000660.KS,SK하이닉스,0.53,34.45,346611.71875,355588.7129046763,346611.71875,352097.65962230216,2238614,-0.004297967260867064,0.037147053552100795,-0.007750630674914623,-0.0028446575135939417,-0.01642013615197979,348506.8625,318857.846875,-0.005437895071578364,0.08704152068705463,0.030448829431191062,0.03597117632076596,1
2025-10-01,53.0,000660.KS,SK하이닉스,0.53,28.09,359079.75,361074.6375,350102.75625,350102.75625,2802437,0.03597117632076596,-0.004297967260867064,0.02294008753733323,0.0041024013403806615,0.2518625363729521,349005.58125,323820.12890625,0.028865351419075657,0.1088864401754287,0.0332548706598329,0.09861110240830895,1
2025-10-02,50.0,000660.KS,SK하이닉스,0.53,26.5,394489.0,403465.9936788875,383018.396965866,387506.8938053097,7430763,0.09861110240830895,0.03597117632076596,0.04342810382273595,0.014119697905049966,1.651536145147955,356785.6375,330453.1296875,0.1056751128329822,0.1937820058567969,0.04876821581239659,0.08217450296459461,1
2025-10-10,38.0,000660.KS,SK하이닉스,0.53,20.14,426905.9375,438127.1800160631,415435.3340391355,424911.0499415888,6835852,0.08217450296459461,0.09861110240830895,0.07225226056455651,0.02724395778880178,-0.08006055367396325,375038.85625,338557.359375,0.13829788670063967,0.2609560113775034,0.05343003439469536,-0.030373786965659177,0
