Date,trend_kor,trend_glb,ticker,company_name,foreign_ratio,weighted_trend
2026-02-02,53.0,38.02887231241773,000660.KS,SK하이닉스,0.53,45.0653023255814
2026-02-03,51.0,37.71025303495686,000660.KS,SK하이닉스,0.53,43.956434108527134
2026-02-04,49.0,37.39163375749598,000660.KS,SK하이닉스,0.53,42.84756589147287
2026-02-05,50.0,37.07301448003511,000660.KS,SK하이닉스,0.53,43.148697674418614
2026-02-06,49.0,36.75439520257423,000660.KS,SK하이닉스,0.53,42.50982945736434
2026-02-07,24.0,36.43577592511336,000660.KS,SK하이닉스,0.53,30.59096124031008
2026-02-08,25.0,36.11715664765248,000660.KS,SK하이닉스,0.53,30.892093023255814
2026-02-09,40.0,35.79853737019161,000660.KS,SK하이닉스,0.53,37.773224806201554
2026-02-10,35.0,35.479918092730735,000660.KS,SK하이닉스,0.53,35.25435658914729
2026-02-11,34.0,35.16129881526986,000660.KS,SK하이닉스,0.53,34.615488372093026
2026-02-12,13.0,34.84267953780898,000660.KS,SK하이닉스,0.53,24.57662015503876
2026-02-13,10.0,34.52406026034811,000660.KS,SK하이닉스,0.53,22.997751937984496
2026-02-14,6.0,34.20544098288723,000660.KS,SK하이닉스,0.53,20.948883720930233
2026-02-15,6.0,33.88682170542636,000660.KS,SK하이닉스,0.53,20.78001550387597
2026-02-16,6.0,33.56820242796549,000660.KS,SK하이닉스,0.53,20.61114728682171
2026-02-17,6.0,33.24958315050461,000660.KS,SK하이닉스,0.53,20.442279069767444
2026-02-18,5.0,32.93096387304374,000660.KS,SK하이닉스,0.53,19.803410852713178
2026-02-19,10.0,32.61234459558286,000660.KS,SK하이닉스,0.53,21.984542635658915
2026-02-20,15.0,32.293725318121986,000660.KS,SK하이닉스,0.53,24.165674418604652
2026-02-21,8.0,31.97510604066111,000660.KS,SK하이닉스,0.53,20.706806201550386
2026-02-22,8.0,31.656486763200235,000660.KS,SK하이닉스,0.53,20.537937984496125
2026-02-23,14.0,31.33786748573936,000660.KS,SK하이닉스,0.53,23.189069767441865
2026-02-24,21.0,31.019248208278484,000660.KS,SK하이닉스,0.53,26.310201550387596
2026-02-25,21.0,30.70062893081761,000660.KS,SK하이닉스,0.53,26.141333333333336
2026-02-26,25.0,30.38200965335674,000660.KS,SK하이닉스,0.53,27.852465116279074
2026-02-27,19.0,30.063390375895864,000660.KS,SK하이닉스,0.53,24.86359689922481
2026-02-28,10.0,29.74477109843499,000660.KS,SK하이닉스,0.53,20.464728682170545
2026-03-01,6.0,29.426151820974116,000660.KS,SK하이닉스,0.53,18.415860465116282
2026-03-02,8.0,29.10753254351324,000660.KS,SK하이닉스,0.53,19.18699224806202
2026-03-03,24.0,28.78891326605236,000660.KS,SK하이닉스,0.53,26.53812403100775
2026-03-04,23.0,28.47029398859149,000660.KS,SK하이닉스,0.53,25.899255813953488
2026-03-05,19.0,28.151674711130617,000660.KS,SK하이닉스,0.53,23.85038759689923
2026-03-06,16.0,27.83305543366974,000660.KS,SK하이닉스,0.53,22.271519379844964
2026-03-07,9.0,27.514436156208863,000660.KS,SK하이닉스,0.53,18.812651162790697
2026-03-08,11.0,27.19581687874799,000660.KS,SK하이닉스,0.53,19.583782945736438
2026-03-09,22.0,26.877197601287115,000660.KS,SK하이닉스,0.53,24.584914728682172
2026-03-10,22.0,26.55857832382624,000660.KS,SK하이닉스,0.53,24.416046511627908
2026-03-11,18.0,26.239959046365364,000660.KS,SK하이닉스,0.53,22.36717829457364
2026-03-12,15.0,25.921339768904488,000660.KS,SK하이닉스,0.53,20.78831007751938
2026-03-13,14.0,25.602720491443613,000660.KS,SK하이닉스,0.53,20.149441860465117
2026-03-14,7.0,25.284101213982744,000660.KS,SK하이닉스,0.53,16.690573643410854
2026-03-15,9.0,24.96548193652187,000660.KS,SK하이닉스,0.53,17.46170542635659
2026-03-16,18.0,24.646862659060996,000660.KS,SK하이닉스,0.53,21.522837209302327
2026-03-17,17.0,24.32824338160012,000660.KS,SK하이닉스,0.53,20.883968992248064
2026-03-18,21.0,24.00962410413924,000660.KS,SK하이닉스,0.53,22.5951007751938
2026-03-19,19.0,23.69100482667837,000660.KS,SK하이닉스,0.53,21.486232558139534
2026-03-20,15.0,23.37238554921749,000660.KS,SK하이닉스,0.53,19.43736434108527
2026-03-21,11.0,23.05376627175661,000660.KS,SK하이닉스,0.53,17.388496124031004
2026-03-22,17.0,22.735146994295743,000660.KS,SK하이닉스,0.53,20.039627906976744
2026-03-23,22.0,22.41652771683487,000660.KS,SK하이닉스,0.53,22.22075968992248
2026-03-24,14.0,22.097908439373995,000660.KS,SK하이닉스,0.53,18.29189147286822
2026-03-25,18.0,21.77928916191312,000660.KS,SK하이닉스,0.53,20.003023255813954
2026-03-26,20.0,21.460669884452244,000660.KS,SK하이닉스,0.53,20.774155038759687
2026-03-27,14.0,21.14205060699137,000660.KS,SK하이닉스,0.53,17.785286821705427
2026-03-28,6.0,20.823431329530493,000660.KS,SK하이닉스,0.53,13.856418604651163
